Country (or area),Subregion,Region,Total wealth (USD bn)
"Lesotho *","Southern Africa","Africa","2"
"Suriname *","South America","Americas","2"
"São Tomé and Príncipe *","Middle Africa","Africa","0"
"Saint Vincent and the Grenadines *","Caribbean","Americas","—"
"Vanuatu *","Melanesia","Oceania","—"
"North Korea *","Eastern Asia","Asia","—"
"Cayman Islands *","Caribbean","Americas","—"
"Aruba *","Caribbean","Americas","—"
"Cuba *","Caribbean","Americas","—"
"Dominica *","Caribbean","Americas","—"
"Antigua and Barbuda *","Caribbean","Americas","—"
"Tonga *","Polynesia","Oceania","—"
"Saint Lucia *","Caribbean","Americas","—"
"Grenada *","Caribbean","Americas","—"
"Samoa *","Polynesia","Oceania","—"
"Solomon Islands *","Melanesia","Oceania","—"
"Somalia *","Eastern Africa","Africa","—"
"Uzbekistan *","Central Asia","Asia","—"
